02:16:12.651121 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.651985 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.652856 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.653728 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.654600 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.655472 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.656343 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.657217 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.658087 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.658959 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.659830 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.660703 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.661575 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.662452 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.663323 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.664191 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.665067 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.665940 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.666811 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
