18:28:32.045289 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.049390 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.053497 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.058005 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.062110 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.066621 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.070725 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.075238 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.079341 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.083853 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.087957 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.092470 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.096580 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.101085 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.105189 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.109701 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.113806 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.117910 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.122422 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.126526 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.131038 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.135142 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.139653 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.143758 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.148269 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.152373 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.156887 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.160990 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.165502 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.169605 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.174118 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.178222 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
