19:00:03.118005 IP 198.188.2.10.53852 > skimmer.csun.edu.domain: 41453+ PTR? 218.21.186.222.in-addr.arpa. (45)
19:00:03.119112 IP skimmer.csun.edu.domain > 198.188.2.10.53852: 41453 NXDomain 0/1/0 (101)
19:00:03.377145 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.381248 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.385761 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.389860 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.394383 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.398488 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.402999 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.407101 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.411607 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.415711 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.419816 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.424335 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.428428 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.432964 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.437081 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.441593 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.445698 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.450209 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.454312 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.458824 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.462929 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.467441 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.471545 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.476065 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.480161 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.484264 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.488776 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.492881 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.497393 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.501497 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.506010 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.510120 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.514626 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.518730 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.523244 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.527346 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.531858 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.535962 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.540474 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.544578 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.548682 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.553195 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.557298 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.561809 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.565914 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.570426 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.574531 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.579043 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.583147 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.587658 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.591762 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.596278 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.600378 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.604890 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.608995 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.613100 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.617611 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.621714 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.626227 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.630330 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.634843 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.638947 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
19:00:03.643460 IP Planetlab1.CS.UCLA.EDU.50327 > 198.188.2.10.22222: UDP, length 1024
